日期,股票代码,名称,收盘价,涨跌幅
2018-01-31,'600708,光明地产,8.35,1.0896
2018-01-30,'600708,光明地产,8.26,0.978
2018-01-29,'600708,光明地产,8.18,0.2451
2018-01-26,'600708,光明地产,8.16,-3.0879
2018-01-25,'600708,光明地产,8.42,-5.4994
2018-01-24,'600708,光明地产,8.91,0.678
2018-01-23,'600708,光明地产,8.85,0.7973
2018-01-22,'600708,光明地产,8.78,7.0732
2018-01-19,'600708,光明地产,8.2,-0.4854
2018-01-18,'600708,光明地产,8.24,7.013
2018-01-17,'600708,光明地产,7.7,-3.6295
2018-01-16,'600708,光明地产,7.99,4.7182
2018-01-15,'600708,光明地产,7.63,-1.4212
2018-01-12,'600708,光明地产,7.74,1.5748
2018-01-11,'600708,光明地产,7.62,-0.6519
2018-01-10,'600708,光明地产,7.67,-0.5188
2018-01-09,'600708,光明地产,7.71,1.9841
2018-01-08,'600708,光明地产,7.56,1.4765
2018-01-05,'600708,光明地产,7.45,2.7586
2018-01-04,'600708,光明地产,7.25,1.257
2018-01-03,'600708,光明地产,7.16,-1.3774
2018-01-02,'600708,光明地产,7.26,5.9854
2017-12-29,'600708,光明地产,6.85,2.6987
2017-12-28,'600708,光明地产,6.67,-0.299
2017-12-27,'600708,光明地产,6.69,-0.4464
2017-12-26,'600708,光明地产,6.72,0.7496
2017-12-25,'600708,光明地产,6.67,-0.5961
2017-12-22,'600708,光明地产,6.71,-0.5926
2017-12-21,'600708,光明地产,6.75,-0.5891
2017-12-20,'600708,光明地产,6.79,-1.4514
2017-12-19,'600708,光明地产,6.89,0.8785
2017-12-18,'600708,光明地产,6.83,0.4412
2017-12-15,'600708,光明地产,6.8,-1.5919
2017-12-14,'600708,光明地产,6.91,-0.5755
2017-12-13,'600708,光明地产,6.95,1.0174
2017-12-12,'600708,光明地产,6.88,-1.0072
2017-12-11,'600708,光明地产,6.95,0.2886
2017-12-08,'600708,光明地产,6.93,1.4641
2017-12-07,'600708,光明地产,6.83,-0.292
2017-12-06,'600708,光明地产,6.85,-0.1458
2017-12-05,'600708,光明地产,6.86,-2.4182
2017-12-04,'600708,光明地产,7.03,-1.1252
2017-12-01,'600708,光明地产,7.11,0.2821
2017-11-30,'600708,光明地产,7.09,-1.5278
2017-11-29,'600708,光明地产,7.2,1.4085
2017-11-28,'600708,光明地产,7.1,0.8523
2017-11-27,'600708,光明地产,7.04,-0.4243
2017-11-24,'600708,光明地产,7.07,1.0
2017-11-23,'600708,光明地产,7.0,-2.507
2017-11-22,'600708,光明地产,7.18,-0.8287
2017-11-21,'600708,光明地产,7.24,0.277
2017-11-20,'600708,光明地产,7.22,0.979
2017-11-17,'600708,光明地产,7.15,-3.2476
2017-11-16,'600708,光明地产,7.39,0.0
2017-11-15,'600708,光明地产,7.39,-2.7632
2017-11-14,'600708,光明地产,7.6,0.2639
2017-11-13,'600708,光明地产,7.58,-0.6553
2017-11-10,'600708,光明地产,7.63,0.2628
2017-11-09,'600708,光明地产,7.61,-1.1688
2017-11-08,'600708,光明地产,7.7,-0.9009
2017-11-07,'600708,光明地产,7.77,-1.6456
2017-11-06,'600708,光明地产,7.9,-0.1264
2017-11-03,'600708,光明地产,7.91,2.3286
2017-11-02,'600708,光明地产,7.73,-0.2581
2017-11-01,'600708,光明地产,7.75,1.3072
2017-10-31,'600708,光明地产,7.65,5.3719
2017-10-30,'600708,光明地产,7.26,-2.5503
2017-10-27,'600708,光明地产,7.45,-2.231
2017-10-26,'600708,光明地产,7.62,1.061
2017-10-25,'600708,光明地产,7.54,2.0298
2017-10-24,'600708,光明地产,7.39,-1.7287
2017-10-23,'600708,光明地产,7.52,0.2667
2017-10-20,'600708,光明地产,7.5,8.0692
2017-10-19,'600708,光明地产,6.94,-2.1157
2017-10-18,'600708,光明地产,7.09,-0.8392
2017-10-17,'600708,光明地产,7.15,0.0
2017-10-16,'600708,光明地产,7.15,-2.3224
2017-10-13,'600708,光明地产,7.32,0.0
2017-10-12,'600708,光明地产,7.32,-0.1364
2017-10-11,'600708,光明地产,7.33,-0.4076
2017-10-10,'600708,光明地产,7.36,1.6575
2017-10-09,'600708,光明地产,7.24,0.8357
2017-09-29,'600708,光明地产,7.18,1.4124
2017-09-28,'600708,光明地产,7.08,-0.7013
2017-09-27,'600708,光明地产,7.13,0.0
2017-09-26,'600708,光明地产,7.13,0.1404
2017-09-25,'600708,光明地产,7.12,-4.8128
2017-09-22,'600708,光明地产,7.48,0.1339
2017-09-21,'600708,光明地产,7.47,-1.581
2017-09-20,'600708,光明地产,7.59,0.6631
2017-09-19,'600708,光明地产,7.54,1.8919
2017-09-18,'600708,光明地产,7.4,-1.0695
2017-09-15,'600708,光明地产,7.48,1.7687
2017-09-14,'600708,光明地产,7.35,0.9615
2017-09-13,'600708,光明地产,7.28,0.2755
2017-09-12,'600708,光明地产,7.26,-0.4115
2017-09-11,'600708,光明地产,7.29,2.244
2017-09-08,'600708,光明地产,7.13,0.5642
2017-09-07,'600708,光明地产,7.09,-1.1158
2017-09-06,'600708,光明地产,7.17,0.7022
2017-09-05,'600708,光明地产,7.12,-1.2483
2017-09-04,'600708,光明地产,7.21,-0.9615
2017-09-01,'600708,光明地产,7.28,-1.6216
2017-08-31,'600708,光明地产,7.4,0.5435
2017-08-30,'600708,光明地产,7.36,0.0
2017-08-29,'600708,光明地产,7.36,1.3774
2017-08-28,'600708,光明地产,7.26,0.6935
2017-08-25,'600708,光明地产,7.21,1.264
2017-08-24,'600708,光明地产,7.12,0.2817
2017-08-23,'600708,光明地产,7.1,-2.3384
2017-08-22,'600708,光明地产,7.27,0.0
2017-08-21,'600708,光明地产,7.27,0.2759
2017-08-18,'600708,光明地产,7.25,0.1381
2017-08-17,'600708,光明地产,7.24,-0.5495
2017-08-16,'600708,光明地产,7.28,0.0
2017-08-15,'600708,光明地产,7.28,0.5525
2017-08-14,'600708,光明地产,7.24,3.4286
2017-08-11,'600708,光明地产,7.0,-3.0471
2017-08-10,'600708,光明地产,7.22,-1.0959
2017-08-09,'600708,光明地产,7.3,0.1372
2017-08-08,'600708,光明地产,7.29,-0.2736
2017-08-07,'600708,光明地产,7.31,-0.6793
2017-08-04,'600708,光明地产,7.36,0.8219
2017-08-03,'600708,光明地产,7.3,-1.6173
2017-08-02,'600708,光明地产,7.42,-1.1984
2017-08-01,'600708,光明地产,7.51,-0.133
2017-07-31,'600708,光明地产,7.52,4.0111
2017-07-28,'600708,光明地产,7.23,4.631
2017-07-27,'600708,光明地产,6.91,0.436
2017-07-26,'600708,光明地产,6.88,-0.7215
2017-07-25,'600708,光明地产,6.93,-0.1441
2017-07-24,'600708,光明地产,6.94,0.7257
2017-07-21,'600708,光明地产,6.89,0.1453
2017-07-20,'600708,光明地产,6.88,1.7751
2017-07-19,'600708,光明地产,6.76,1.6541
2017-07-18,'600708,光明地产,6.65,0.6051
2017-07-17,'600708,光明地产,6.61,-3.2211
2017-07-14,'600708,光明地产,6.83,0.7375
2017-07-13,'600708,光明地产,6.78,0.0
2017-07-12,'600708,光明地产,6.78,0.4444
2017-07-11,'600708,光明地产,6.75,-0.8811
2017-07-10,'600708,光明地产,6.81,0.5908
2017-07-07,'600708,光明地产,6.77,-0.1475
2017-07-06,'600708,光明地产,6.78,1.0432
2017-07-05,'600708,光明地产,6.71,0.4491
2017-07-04,'600708,光明地产,6.68,-0.5952
2017-07-03,'600708,光明地产,6.72,1.2048
2017-06-30,'600708,DR光明地,6.64,-0.5988
2017-06-29,'600708,光明地产,8.83,0.0
2017-06-28,'600708,光明地产,8.83,0.0
2017-06-27,'600708,光明地产,8.83,0.6842
2017-06-26,'600708,光明地产,8.77,1.6222
2017-06-23,'600708,光明地产,8.63,0.2323
2017-06-22,'600708,光明地产,8.61,-0.3472
2017-06-21,'600708,光明地产,8.64,1.0526
2017-06-20,'600708,光明地产,8.55,0.1171
2017-06-19,'600708,光明地产,8.54,1.0651
2017-06-16,'600708,光明地产,8.45,0.3563
2017-06-15,'600708,光明地产,8.42,0.5974
2017-06-14,'600708,光明地产,8.37,-0.5938
2017-06-13,'600708,光明地产,8.42,1.2019
2017-06-12,'600708,光明地产,8.32,-1.8868
2017-06-09,'600708,光明地产,8.48,0.9524
2017-06-08,'600708,光明地产,8.4,0.4785
2017-06-07,'600708,光明地产,8.36,1.9512
2017-06-06,'600708,光明地产,8.2,0.0
2017-06-05,'600708,光明地产,8.2,0.7371
2017-06-02,'600708,光明地产,8.14,0.8674
2017-06-01,'600708,光明地产,8.07,-1.1029
2017-05-31,'600708,光明地产,8.16,1.3665
2017-05-26,'600708,光明地产,8.05,0.1244
2017-05-25,'600708,光明地产,8.04,2.551
2017-05-24,'600708,光明地产,7.84,1.1613
2017-05-23,'600708,光明地产,7.75,-2.2699
2017-05-22,'600708,光明地产,7.93,-3.1746
2017-05-19,'600708,光明地产,8.19,0.2448
2017-05-18,'600708,光明地产,8.17,-0.6083
2017-05-17,'600708,光明地产,8.22,0.0
2017-05-16,'600708,光明地产,8.22,0.9828
2017-05-15,'600708,光明地产,8.14,0.8674
2017-05-12,'600708,光明地产,8.07,-0.6158
2017-05-11,'600708,光明地产,8.12,0.2469
2017-05-10,'600708,光明地产,8.1,-2.0556
2017-05-09,'600708,光明地产,8.27,0.1211
2017-05-08,'600708,光明地产,8.26,-1.7836
2017-05-05,'600708,光明地产,8.41,-2.4362
2017-05-04,'600708,光明地产,8.62,-0.4619
2017-05-03,'600708,光明地产,8.66,-0.9153
2017-05-02,'600708,光明地产,8.74,-1.6873
2017-04-28,'600708,光明地产,8.89,-0.1124
2017-04-27,'600708,光明地产,8.9,1.3667
2017-04-26,'600708,光明地产,8.78,1.9744
2017-04-25,'600708,光明地产,8.61,-0.116
2017-04-24,'600708,光明地产,8.62,-2.2676
2017-04-21,'600708,光明地产,8.82,1.496
2017-04-20,'600708,光明地产,8.69,-1.25
2017-04-19,'600708,光明地产,8.8,-2.0045
2017-04-18,'600708,光明地产,8.98,-0.6637
2017-04-17,'600708,光明地产,9.04,-0.5501
2017-04-14,'600708,光明地产,9.09,-1.1957
2017-04-13,'600708,光明地产,9.2,0.9879
2017-04-12,'600708,光明地产,9.11,0.7743
2017-04-11,'600708,光明地产,9.04,0.0
2017-04-10,'600708,光明地产,9.04,-0.3308
2017-04-07,'600708,光明地产,9.07,-0.1101
2017-04-06,'600708,光明地产,9.08,0.2208
2017-04-05,'600708,光明地产,9.06,2.7211
2017-03-31,'600708,光明地产,8.82,0.2273
2017-03-30,'600708,光明地产,8.8,-2.3307
2017-03-29,'600708,光明地产,9.01,-1.8519
2017-03-28,'600708,光明地产,9.18,-1.6077
2017-03-27,'600708,光明地产,9.33,-1.3742
2017-03-24,'600708,光明地产,9.46,1.9397
2017-03-23,'600708,光明地产,9.28,0.3243
2017-03-22,'600708,光明地产,9.25,-0.108
2017-03-21,'600708,光明地产,9.26,0.2165
2017-03-20,'600708,光明地产,9.24,0.3257
2017-03-17,'600708,光明地产,9.21,-1.4973
2017-03-16,'600708,光明地产,9.35,1.741
2017-03-15,'600708,光明地产,9.19,-0.4334
2017-03-14,'600708,光明地产,9.23,0.6543
2017-03-13,'600708,光明地产,9.17,0.4381
2017-03-10,'600708,光明地产,9.13,-0.3275
2017-03-09,'600708,光明地产,9.16,-2.0321
2017-03-08,'600708,光明地产,9.35,-1.0582
2017-03-07,'600708,光明地产,9.45,0.3185
2017-03-06,'600708,光明地产,9.42,0.1063
2017-03-03,'600708,光明地产,9.41,-0.9474
2017-03-02,'600708,光明地产,9.5,1.3874
2017-03-01,'600708,光明地产,9.37,0.4287
2017-02-28,'600708,光明地产,9.33,0.0
2017-02-27,'600708,光明地产,9.33,-0.8502
2017-02-24,'600708,光明地产,9.41,-0.2121
2017-02-23,'600708,光明地产,9.43,0.426
2017-02-22,'600708,光明地产,9.39,0.7511
2017-02-21,'600708,光明地产,9.32,0.9751
2017-02-20,'600708,光明地产,9.23,1.0953
2017-02-17,'600708,光明地产,9.13,-1.6164
2017-02-16,'600708,光明地产,9.28,0.76
2017-02-15,'600708,光明地产,9.21,1.3201
2017-02-14,'600708,光明地产,9.09,-0.547
2017-02-13,'600708,光明地产,9.14,1.2182
2017-02-10,'600708,光明地产,9.03,0.6689
2017-02-09,'600708,光明地产,8.97,0.7865
2017-02-08,'600708,光明地产,8.9,-0.7804
2017-02-07,'600708,光明地产,8.97,-0.3333
2017-02-06,'600708,光明地产,9.0,0.6711
2017-02-03,'600708,光明地产,8.94,-1.6502
2017-01-26,'600708,光明地产,9.09,1.4509
2017-01-25,'600708,光明地产,8.96,2.6346
2017-01-24,'600708,光明地产,8.73,0.3448
2017-01-23,'600708,光明地产,8.7,0.578
2017-01-20,'600708,光明地产,8.65,0.9335
2017-01-19,'600708,光明地产,8.57,0.1168
