,all,500d,250d
wm,0.9633685693954104,0.9633685693954104,1.1005586287749272
wq,0.9911177217937864,0.9911177217937864,0.9587691028799905
wh,0.9109828468636341,0.9109828468636341,0.933425644122621
wy,0.9016683084288335,0.9016683084288335,0.9016683084288335
mq,0.7253948804537429,0.7253948804537429,0.7802824420570316
mh,0.5859210678601605,0.5859210678601605,0.7074467490096349
my,0.7389745920293738,0.7389745920293738,0.7389745920293738
qh,0.6302134177002137,0.6302134177002137,0.9139114246642746
qy,1.0786463319076376,1.0786463319076376,1.0786463319076376
hy,0.9923251577774875,0.9923251577774875,0.9923251577774875
wmq,0.8886323466483266,0.8886323466483266,0.8898377210570294
wmqh,0.8963218290558088,0.8963218290558088,0.9378339291435692
wmqhy,1.0,1.0,1.0
mqh,0.7607414627466694,0.7607414627466694,0.8831363783699347
mqhy,1.0,1.0,1.0
qhy,1.0,1.0,1.0
