,name,avg-250d,max-250d,strategy-250d,bs-250d,wm-250d,wq-250d,wh-250d,wy-250d,mq-250d,mh-250d,my-250d,qh-250d,qy-250d,hy-250d,wmq-250d,wmqh-250d,wmqhy-250d,mqh-250d,mqhy-250d,qhy-250d,avg-500d,max-500d,strategy-500d,bs-500d,wm-500d,wq-500d,wh-500d,wy-500d,mq-500d,mh-500d,my-500d,qh-500d,qy-500d,hy-500d,wmq-500d,wmqh-500d,wmqhy-500d,mqh-500d,mqhy-500d,qhy-500d,avg-all,max-all,strategy-all,bs-all,wm-all,wq-all,wh-all,wy-all,mq-all,mh-all,my-all,qh-all,qy-all,hy-all,wmq-all,wmqh-all,wmqhy-all,mqh-all,mqhy-all,qhy-all
'000028,国药一致,0.9859957499348715,1.0864142547341424,mh,S,0.981414000183,1.00346602205,1.04577006549,1.02442953068,0.909244066613,1.08641425473,0.991709574189,0.908562671593,0.995745169611,0.895132986551,0.962811516318,1.03615371964,1.03615371964,0.995181015037,0.995181015037,0.908562671593,0.8614066723697605,1.1039401431641362,wm,S,1.10394014316,0.914945298867,0.83255004956,0.776491702608,0.830399587802,0.742563352321,0.739425095544,0.80471862014,0.77387176837,0.661679676145,0.913431406135,1.03642786878,1.04039469681,0.992411804053,0.923224949169,0.696030738447,76.17852689249415,1045.066824392739,wm,S,1045.06682439,18.2981342508,35.2543500364,17.3122341484,1.92379228009,10.992347642,10.9212706583,11.6199553126,8.17404675672,7.53333884106,20.6785219283,10.5534036968,6.6068293446,4.06585163652,2.78633685903,7.06919249543
'300327,中颖电子,0.9396288144195809,1.1773206539403467,wmq,S,0.99668371463,1.09772068573,0.77160908878,0.888566312949,1.02796512787,0.730375737203,0.88677557946,0.749826450322,0.808936907594,1.00337141111,1.17732065394,0.958550317016,1.0,0.936359044106,1.0,1.0,1.070091551310444,1.6010086920637883,wmq,S,1.38384719425,1.59623241465,0.90905950172,1.10614758625,0.892004399874,0.767256196407,1.01363286312,0.790938544297,0.943085174022,1.23278840885,1.60100869206,1.08168798689,1.12846239544,0.783612658467,0.836871991998,1.05482881266,3.228844416926972,8.334873328680164,wm,S,8.33487332868,7.28923363011,1.7891987435,4.10108838795,2.13780756083,1.91529602,2.68257371188,0.964671707204,2.82057639917,4.82583898931,6.08786299512,2.8008440393,2.49499831028,1.21685516915,1.10966714136,1.090124537
'002253,川大智胜,0.8966703067147419,1.0,my,S,0.906505054742,0.931620841085,0.842725257006,0.94498353,0.801721921507,0.73291313694,1.0,0.561941184007,1.0,1.0,0.993370766404,0.911687782134,1.0,0.719255433611,1.0,1.0,0.951240363600127,1.6713562880361912,wm,S,1.67135628804,0.815586342514,0.900686088159,0.937525991233,0.853246288892,0.823737065649,0.899814644369,0.709837142468,1.20208418543,0.657131721202,1.32809110514,1.11430364449,1.0031570457,0.69980126652,0.798551783954,0.804935213843,4.8948689546012565,45.030196986441574,wm,S,45.0301969864,8.9426859652,2.46756556937,1.35703984951,1.95578393536,1.30075703439,1.45781472332,0.351389056591,2.55302045136,1.79487553151,7.52157789072,1.35252224299,1.12765443855,0.322614972577,0.339918901211,0.442485724513
'002183,怡 亚 通,0.938130323775881,1.0279998930619725,wm,S,1.02799989306,0.852059819363,0.949664334276,1.0,0.636938382602,0.890748420647,1.0,0.849579559698,1.0,1.0,0.828365096155,1.0,1.0,0.974729674611,1.0,1.0,0.7546530021524593,1.0429048277927306,wm,S,1.04290482779,0.685111641147,0.697747624064,0.638168773549,0.39530098512,0.69146908798,0.664992873735,0.588935869462,0.682209433028,0.607606083384,0.712062546096,1.0,1.0,0.974729674611,1.0,0.693208614471,6.068990459853125,30.310328508409487,wm,S,30.3103285084,3.82866160346,3.33697466987,4.26972618103,2.93616615551,3.71178873069,3.66628408543,3.78719703731,5.03163937259,3.13446021511,8.28980548957,8.5581567103,4.28880565783,6.28470680668,3.05659000753,2.61255612633
'300010,立思辰,0.9661960098436042,1.013458461091256,mh,S,0.846573966356,0.906065644275,0.959048765985,1.0,0.826025473522,1.01345846109,1.0,1.0,1.0,1.0,0.907963846268,1.0,1.0,1.0,1.0,1.0,0.5586536666976303,0.8503145104350001,wmqhy,S,0.612856030427,0.403950063701,0.49237448582,0.351476336404,0.50623391448,0.434457836335,0.44248999479,0.424605240791,0.442489760223,0.402444532174,0.697316832313,0.850314510435,0.850314510435,0.805559216467,0.805559216467,0.416016185899,4.574878583859656,8.035475024074298,mqh,S,6.18047399453,4.47663631587,6.10669777225,3.50936813545,3.10736158213,5.91924024793,3.51581554315,4.33711457654,5.05035595671,3.7783224928,3.16497421287,3.90520731201,3.23906803696,8.03547502407,5.54036005793,3.33158608054
'600708,光明地产,0.9557435458632982,1.2337524455786275,wm,S,1.23375244558,1.00149680195,0.981825576576,0.951014453747,0.999326804017,0.922567109673,0.835480495728,0.825191980502,0.912324470076,0.972219453093,1.06080605308,0.949103312249,1.01364157277,0.885026008873,0.871852714297,0.8762674816,0.9348093259709787,1.3206424031792925,wm,S,1.32064240318,0.989295357011,1.00725436484,0.90275366199,1.02553601548,0.870549192245,0.835480495728,0.665861799351,0.815028382126,1.00354405149,1.09112357159,0.872359669723,1.01364157277,0.795758482122,0.871852714297,0.8762674816,23.44075642517298,336.97343255407395,wm,S,336.973432554,10.8590820539,1.54077881495,2.10052064286,0.613078772362,0.113873245955,0.719417508112,0.0827642376042,0.866363308916,2.49073666783,11.6053601343,2.94229297262,3.14503883082,0.156549713286,0.343091218337,0.499722126845
'600315,上海家化,1.0936822964333317,1.2179419277436223,wm,S,1.21794192774,1.11626889533,1.16844738195,1.12754339406,1.06444538419,1.13582255342,1.12948869685,1.08197190282,1.08378241929,1.07515194783,1.10914300571,1.05137404428,1.05073432745,1.00900446807,1.00264444611,1.07515194783,1.049943732692992,1.1478459192110835,wq,S,1.10712264618,1.14784591921,1.09492970726,1.12754339406,0.945028177759,1.09155316371,1.12948869685,1.02527270079,1.08378241929,0.926038358685,1.05968437364,0.975147554919,1.05073432745,0.957131889346,1.00264444611,1.07515194783,14.298896854957645,29.522486419416232,wm,S,29.5224864194,14.6047207294,25.8029169941,19.9073924792,3.30972916272,19.2315148084,18.3623720622,6.98122029109,26.3221856569,14.6854669824,7.44444367147,7.07767890908,9.06107334955,6.34290810913,9.39697062015,10.7292694342
'601099,太平洋,0.9479043849538707,1.006033028242717,wm,S,1.00603302824,0.954717672842,0.967535275677,0.936128293208,0.96172003556,0.952441558817,0.928018514666,0.907205949307,0.799462303184,0.807497150876,0.981029062918,1.0,1.0,0.968673425918,1.0,0.996007888045,0.8974474067605285,1.2618464931693236,wmq,S,1.18297052549,0.951078265126,0.891795613575,1.02253172899,0.78061534478,0.700260874086,0.996294519901,0.709086390612,0.773225943971,0.622394141594,1.26184649317,1.224964197,0.872307112154,0.808247667358,0.793847229994,0.767692460374,2.031956006502751,9.882897245709136,wm,S,9.88289724571,1.79746752118,1.05780506662,2.06519289843,0.4638993937,0.544008122569,1.8350151589,0.580111197994,1.42701793613,0.741636181421,4.09563157702,3.40713479701,2.00482535236,0.970908274732,0.92414805616,0.713597324113
'600171,上海贝岭,1.0010976368766702,1.3901473411039622,wm,S,1.3901473411,1.33937342522,1.12350114785,0.902076256011,1.28055012586,1.0688142498,0.758309089629,0.872089720403,0.793928802242,0.603501874601,1.22433851501,1.17440380153,0.900455605689,1.12247737923,0.823663499888,0.639931355959,0.8472923639616491,1.4680876050550107,wm,S,1.46808760506,1.12592266323,0.896873575343,0.701032076157,0.931479242315,0.668066234417,0.566617704285,0.51496961562,0.440151679823,0.777277003508,1.29765358867,1.09240004433,0.910731909483,0.685116986009,0.833063426208,0.647234468938,15.115331738804901,189.0592347863677,wm,S,189.059234786,14.9950738104,2.52049758801,0.964674524074,1.55215904482,0.515756576983,0.345571746729,0.191471219111,0.468754331016,1.65631070945,17.8388504359,5.26809354363,4.32792175244,0.652298618749,1.02845391429,0.460185218946
'000651,格力电器,2.137708448102591,2.2148127782474303,qy,B,2.13265418139,2.11280189691,2.21481277825,2.21481277825,2.04758460435,2.21481277825,2.21481277825,2.21481277825,2.21481277825,2.21481277825,2.0322076841,2.0322076841,2.0322076841,2.04758460435,2.04758460435,2.21481277825,1.8868730189592595,3.3178791563784786,wm,B,3.31787915638,2.28986612279,1.80530033139,1.67044789995,1.72896978144,2.20991821694,1.28238719021,1.95301538718,1.43060718632,1.47388267417,2.33374784132,2.12684790776,1.90280493335,1.69806967726,1.54175620663,1.42446779026,62.875706130186515,557.0165258994132,wm,B,557.016525899,145.529302202,31.7810709533,17.2955831207,27.6270074466,31.8759952141,13.6688809079,11.036299082,9.41930070234,9.80050726644,74.3274340498,27.396454255,12.7415900327,16.6425481394,9.5106774678,10.3421213438
