,name,avg-250d,max-250d,strategy-250d,bs-250d,wm-250d,wq-250d,wh-250d,wy-250d,mq-250d,mh-250d,my-250d,qh-250d,qy-250d,hy-250d,wmq-250d,wmqh-250d,wmqhy-250d,mqh-250d,mqhy-250d,qhy-250d,avg-500d,max-500d,strategy-500d,bs-500d,wm-500d,wq-500d,wh-500d,wy-500d,mq-500d,mh-500d,my-500d,qh-500d,qy-500d,hy-500d,wmq-500d,wmqh-500d,wmqhy-500d,mqh-500d,mqhy-500d,qhy-500d,avg-all,max-all,strategy-all,bs-all,wm-all,wq-all,wh-all,wy-all,mq-all,mh-all,my-all,qh-all,qy-all,hy-all,wmq-all,wmqh-all,wmqhy-all,mqh-all,mqhy-all,qhy-all
'600000,浦发银行,0.9627910170987369,1.1526560037892095,wm,B,1.15265600379,0.988959197407,0.970672836911,1.01019792499,0.872214035134,0.971814280193,1.0107679541,0.893384817683,0.888297229414,1.06890555759,0.970303149167,0.927195423438,0.965473988511,0.842740950488,0.923420377668,0.947652547095,0.9634516817873777,1.1506969410877161,wm,B,1.15069694109,0.911166616216,0.861478951503,1.01748100974,0.846050473186,0.929819293189,1.01805514851,0.930980971904,0.894701463523,1.07661189867,0.99634132848,0.993289119808,1.03429631338,0.843009882792,0.923715056085,0.987532440511,13.473315820967368,62.172886193431054,wm,B,62.1728861934,24.8821342101,14.451058608,10.1253036588,7.32475079657,8.10817529187,6.50367708161,5.75845607528,4.02781439786,6.66474649612,31.3414918883,11.3141927212,5.72831020282,6.99075451804,5.14009766743,5.03920332809
'600001,邯郸钢铁,1.0664806651789212,1.6087108746304735,wm,S,1.60871087463,1.20993470522,1.05163007976,0.97495329904,1.08269067712,1.30281217969,0.907376943138,1.13426051843,0.813848663755,0.705335843152,1.42817579855,1.49237008471,0.910666788933,1.13425687972,0.653332605564,0.653334701464,1.1564755136711422,2.405004124829381,wm,S,2.40500412483,1.4718288897,1.10659456749,0.941767507535,1.09215368439,1.38829840035,0.941643685936,0.976070324185,0.805243002626,0.47413065877,2.10065862855,1.70067219743,1.03777588745,0.951490520506,0.548059079074,0.562217059924,2.404578782077078,13.73514296505376,wm,S,13.7351429651,3.99357822429,2.30993485161,1.59709105383,1.48425074872,1.65998094671,0.917895321895,1.20110587874,0.816905146855,0.488742096666,3.63315731616,2.54231908688,1.59922296424,1.22446308451,0.797498555685,0.471972271394
'600002,齐鲁石化,1.3345157206074216,1.5082208552849679,qy,B,1.26390700284,1.41647311301,1.36860181894,1.41946390849,1.31531557446,1.23438368274,1.44971032786,1.25743802434,1.50822085528,1.39944111188,1.24594625936,1.20431186401,1.26660875928,1.20354700347,1.39944111188,1.39944111188,1.1408132028342859,1.7369689900090421,wm,B,1.73696899001,1.19385740914,0.993527742984,1.13073020457,0.953486782755,0.704233312185,1.2167148362,1.04373578691,1.27167345162,1.04552932917,1.13564214976,1.14851219994,1.20792267855,1.06755568751,1.24131530719,1.16160537686,2.7345947378754842,10.714531401603843,wm,B,10.7145314016,3.89970967872,2.55040631409,2.62916230091,1.89508302816,1.31120062213,2.0797221671,2.30486729217,1.87388849507,0.856176678455,3.55234199866,3.27012122263,2.04293103271,2.06063781343,1.57692700318,1.13580875701
'600003,ST东北高,1.0530600314025007,1.5822554837119702,mq,B,1.27217305977,1.23732969537,1.18213864727,0.723547167149,1.58225548371,1.1559852311,0.907103265425,0.795063901334,0.781658152921,1.0,1.42845008222,0.881253079027,1.0,0.90200273714,1.0,1.0,1.8706979661114729,3.745719038719309,wm,B,3.74571903872,2.20203698978,1.74313303267,1.16288771261,2.31019942632,1.33210514005,1.3504467285,1.33210544164,1.35089062054,1.6760654317,3.00741410943,1.84389347565,2.09235408027,1.47319625641,1.63325031705,1.67546965647,2.020634286415785,7.551026165092191,wm,B,7.55102616509,2.2682212315,1.83516067027,1.11519833229,1.40762183119,1.13676883132,1.44278287612,1.45174656653,1.22174635364,1.04955965085,2.7961532148,2.13131184566,2.39378309912,1.29476084725,1.63381290213,1.60049416488
'600004,白云机场,1.4597036662653686,1.5941092412411262,mh,B,1.49059028989,1.52204622623,1.58205777538,1.58205777538,1.41690844081,1.59410924124,1.58205777538,1.46681982848,1.58205777538,1.58205777538,1.35243324993,1.25392127808,1.25392127808,1.31370006107,1.31370006107,1.46681982848,1.6213292946986542,1.8706267675993695,wh,B,1.61503664695,1.75136939799,1.8706267676,1.79541438965,1.59694232783,1.86920437015,1.74465120779,1.60051665842,1.67463934589,1.65168133664,1.61123878645,1.50363565773,1.35010041497,1.45166174675,1.32317768861,1.53137197176,6.757861041021325,20.710701221426028,wq,B,8.43960496429,20.7107012214,8.53458858591,6.93048090926,4.33514560099,6.99883626347,3.98150867965,2.90346495194,3.84029019881,7.10139552377,7.82602413263,6.23263680369,6.3287838613,3.95390182484,5.37810300889,4.6303101255
'600005,武钢股份,1.0195577268431675,1.143621245810268,wmq,B,1.042850705,1.07792671166,1.03951409601,1.08479902336,1.0460011134,0.981216811959,1.02486419594,1.12296212678,0.951282508164,0.856410309316,1.14362124581,0.955372659,1.0,0.9861021231,1.0,1.0,2.2356709837261532,3.3958015429783,wmq,B,2.97321289684,2.34580526912,1.81187459122,2.11590459853,2.42634285366,2.13297589893,1.93361184636,2.31828296835,1.59001382864,1.30383217098,3.39580154298,2.83682728127,2.54350402679,2.28739894128,1.98697482693,1.76837219774,17.83712711315851,93.04920778572615,wm,B,93.0492077857,32.2940025266,15.4705017675,10.7826786074,12.7481245471,14.158157194,5.32720529747,5.08258292901,2.73170153564,3.57881854733,42.6703748227,16.3312122413,12.5593766457,8.40216832133,5.79237490529,4.41554613654
'600006,东风汽车,0.9835924731440567,1.1431646971903724,wm,S,1.14316469719,0.972627904271,0.947967819434,0.959480257161,0.953391482619,0.86060699767,0.9344269202,0.914864386793,1.0,1.0578036944,1.04422501188,1.00154984505,1.0,0.947370553636,1.0,1.0,0.9722087052122613,1.4220531508437801,wmq,S,1.18477453457,1.25136226637,0.882607623425,0.825783602896,1.18336729379,0.73777684469,0.871864975894,0.84380461752,0.680124755804,0.642314340038,1.42205315084,1.0441949196,1.0,0.985310357966,1.0,1.0,18.84954353920912,146.29765204623794,wm,S,146.297652046,36.560398765,9.66404942727,6.84149179146,3.07980724204,4.6036948688,5.08531710303,7.48145082705,5.91820455579,6.16286844671,29.6656747485,12.3252109614,10.2477052716,2.51305527398,3.12833988283,12.0177754157
'600007,中国国贸,0.98521365435062,1.1134368600490585,wm,S,1.11343686005,0.983852872888,0.98443597769,1.01786506491,1.01231413337,0.993382057816,0.939599585171,0.965311280953,0.873642018219,0.96513696717,1.05817875899,0.958328977679,1.0,0.907959097362,1.0,0.989974817344,1.1716545843437824,1.459002217605727,mq,S,1.28455205024,1.45360676854,1.15645879828,1.15838272171,1.45900221761,1.1145112991,1.05580687361,1.05690484814,0.939259595287,1.16421788447,1.384538462,1.06881649919,1.1152918508,1.0784762942,1.18780272959,1.06884445673,6.640244684758152,44.59945487839345,wm,S,44.5994548784,14.4811396225,5.27411754203,5.32088754749,2.09718091185,1.27489230582,1.71705472413,1.84651752046,1.69268250798,4.71030532319,9.34435724051,2.99571593692,3.40985216713,1.25321937139,2.2329271717,3.99361018464
'600008,首创股份,1.3436021330652184,1.7187197242532628,wm,S,1.71871972425,1.34662138795,1.45480516466,1.37214836383,1.33890227621,1.41586497349,1.2697851502,1.31014300341,1.26247194286,1.22347733817,1.45295136931,1.2111879745,1.2111879745,1.29961224114,1.29961224114,1.31014300341,1.341312935677463,1.8513954652055544,wm,S,1.85139546521,1.36155848923,1.51028130696,1.21163846667,1.46739827138,1.45822835575,1.2031066053,1.24101033369,1.238595667,1.19750902668,1.53671055105,1.16090503766,1.2111879745,1.22953396579,1.29961224114,1.28233521282,9.254007065204028,56.66381094949223,wm,S,56.6638109495,8.33702581398,7.54319853545,2.88669216792,3.41744912997,5.02143023347,3.14919016556,2.84124825445,1.94830588859,1.31860003727,30.741333821,12.3455509125,6.28556536361,2.15590909972,1.19921863775,2.20958403244
'600009,上海机场,1.6189008134720364,1.7511405539721858,my,B,1.54192187618,1.7361728411,1.74796926364,1.74796926364,1.63169581726,1.74418113574,1.75114055397,1.73727471369,1.69162047834,1.59441272324,1.46222623407,1.46594950047,1.34539950232,1.62171265978,1.48835372887,1.59441272324,1.5894938122307258,1.7651383718418847,qy,B,1.67734879704,1.76323898107,1.62427496511,1.6951418743,1.6562303774,1.50386117021,1.58181899813,1.44456470793,1.76513837184,1.73590278835,1.57084551207,1.46594950047,1.34539950232,1.60152972888,1.48835372887,1.51230199172,13.626048789976608,73.22416605559987,wm,B,73.2241660556,21.5942238952,17.287283416,13.3269445728,6.4475663172,5.63341961514,9.85847654012,2.81245138867,7.31771569895,4.07131217465,23.6637431156,12.4667314287,7.17080424923,5.19864512235,5.45228502137,2.49101202799
