日期,股票代码,名称,收盘价,涨跌幅
2019-12-19,'300741,华宝股份,30.4,0.2308
2019-12-18,'300741,华宝股份,30.33,0.033
2019-12-17,'300741,华宝股份,30.32,1.033
2019-12-16,'300741,华宝股份,30.01,-0.2327
2019-12-13,'300741,华宝股份,30.08,1.897
2019-12-12,'300741,华宝股份,29.52,0.7509
2019-12-11,'300741,华宝股份,29.3,0.4457
2019-12-10,'300741,华宝股份,29.17,-0.1027
2019-12-09,'300741,华宝股份,29.2,0.0
2019-12-06,'300741,华宝股份,29.2,0.4127
2019-12-05,'300741,华宝股份,29.08,0.2759
2019-12-04,'300741,华宝股份,29.0,0.6944
2019-12-03,'300741,华宝股份,28.8,0.3834
2019-12-02,'300741,华宝股份,28.69,0.2796
2019-11-29,'300741,华宝股份,28.61,0.1751
2019-11-28,'300741,华宝股份,28.56,-0.5571
2019-11-27,'300741,华宝股份,28.72,0.6307
2019-11-26,'300741,华宝股份,28.54,0.0701
2019-11-25,'300741,华宝股份,28.52,-1.4853
2019-11-22,'300741,华宝股份,28.95,-0.5838
2019-11-21,'300741,华宝股份,29.12,0.172
2019-11-20,'300741,华宝股份,29.07,-0.785
2019-11-19,'300741,华宝股份,29.3,0.0341
2019-11-18,'300741,华宝股份,29.29,1.1395
2019-11-15,'300741,华宝股份,28.96,-2.4259
2019-11-14,'300741,华宝股份,29.68,-0.8353
2019-11-13,'300741,华宝股份,29.93,-0.2001
2019-11-12,'300741,华宝股份,29.99,-0.4977
2019-11-11,'300741,华宝股份,30.14,-7.3186
2019-11-08,'300741,华宝股份,32.52,-1.4247
2019-11-07,'300741,华宝股份,32.99,-1.493
2019-11-06,'300741,华宝股份,33.49,4.493
2019-11-05,'300741,华宝股份,32.05,-0.4658
2019-11-04,'300741,华宝股份,32.2,-0.3405
2019-11-01,'300741,华宝股份,32.31,0.6229
2019-10-31,'300741,华宝股份,32.11,0.6268
2019-10-30,'300741,华宝股份,31.91,0.0627
2019-10-29,'300741,华宝股份,31.89,1.0136
2019-10-28,'300741,华宝股份,31.57,1.1859
2019-10-25,'300741,华宝股份,31.2,0.0962
2019-10-24,'300741,华宝股份,31.17,-0.7957
2019-10-23,'300741,华宝股份,31.42,-1.5047
2019-10-22,'300741,华宝股份,31.9,0.3145
2019-10-21,'300741,华宝股份,31.8,0.1575
2019-10-18,'300741,华宝股份,31.75,-1.9154
